Aaberg	'o:-%b{rg
disc-jockeyenes	'dIsk-%jO-kI-@-n@s
disc-jockeyer	'dIsk-%jO-kI-@r
Dise	"di:-s@
Disengrenda	"di:-s@N-%grEn-dA
disers	'di:-s@s`
disete	"di:-s@-t@
disets	"di:-s@ts
disiplene	dI-'sI-pln=-@
disiplinæres	dI-sI-plI-'n{:-r@s
disiplinærreglementas	dI-sI-plI-'n{:r-r@-gl@-%mAN-As
disiplinærreglement	dI-sI-plI-'n{:r-r@-gl@-%mAN
disiplinærreglements	dI-sI-plI-'n{:r-r@-gl@-%mANs
disiplinærsaker	dI-sI-plI-'n{:r-%sA:-k@r
disiplinærs	dI-sI-plI-'n{:s`
disiplinærstraffens	dI-sI-plI-'n{:r-%strA-f@ns
disiplinært	dI-sI-plI-'n{:t`
disiplinærutvalg	dI-sI-plI-'n{:r-}:-%tvAlg
disiplinens	dI-sI-'pli:-nn=s
disiplinerer	dI-sI-plI-'ne:-r@r
disjunksjonenes	dIs-ju0Nk-'Su:-nn=-@s
diskantens	dI-'skAn-tn=s
diskas	"dI-skAs
diskedamene	"dI-sk@-%dA:-m@-n@
diskenspringerers	'dI-sk@n-%sprIN-@-r@s`
diskenspringers	'dI-sk@n-%sprIN-@s`
diskers	"dI-sk@s`
diskettens	dI-'skE-tn=s
disketter	dI-'skE-t@r
diskjockeyens	'dIsk-%jO-kI-@ns
diskjockeyer	'dIsk-%jO-kI-@r
diskomusikken	'dI-skU-mu0-%sI-k@n
diskonter	dI-skUn-'te:r
diskontere	dI-skUn-'te:-r@
diskonterer	dI-skOn-'te:-r@r
diskonteres	dI-skUn-'te:-r@s
diskonterte	dI-skUn-'te:-t`@
diskontoenes	dI-'skOn-tU-@-n@s
diskontopolitikkene	dI-'skOn-tU-pU-lI-%tI-k@-n@
diskontopolitikkenes	dI-'skOn-tU-pU-lI-%tI-k@-n@s
diskontopolitikker	dI-'skOn-tU-pU-lI-%tI-k@r
diskontopolitikks	dI-'skOn-tU-pU-lI-%tIks
diskotekas	dI-skU-'te:-kAs
diskotekenes	dI-skU-'te:-k@-n@s
diskrediter	'dI-skr@-dI-%te:r
diskrepansenes	dI-skr@-'pAn-sn=-@s
diskresjonsbrottet	dI-skr@-'Su:ns-%brO-t@
diskresjonsbrottets	dI-skr@-'Su:ns-%brO-t@ts
diskresjonsbrotts	dI-skr@-'Su:ns-%brOts
diskresjonsbruddas	dI-skr@-'Su:ns-%bru0-dAs
diskresjonsbrudd	dI-skr@-'Su:ns-%bru0d
diskresjonsbruddet	dI-skr@-'Su:ns-%bru0-d@
diskursanalysene	dI-'sku0s`-A-nA-%ly:-sn=-@
diskursanalysens	dI-'sku0s`-A-nA-%ly:-sn=s
diskursen	dI-'sku0-s`n`=
diskursene	dI-'sku0-s`n`=-@
diskursers	dI-'sku0-s`@s`
diskursive	'dI-sku0-%s`i:-v@
diskursivt	'dI-sku0-%s`i:vt
diskusjons	dI-sku0-'Su:ns
diskusjonsgruppas	dI-sku0-'Su:ns-%gru0-pAs
diskusjonsgruppens	dI-sku0-'Su:ns-%gru0-p@ns
diskusjonsgrupper	dI-sku0-'Su:ns-%gru0-p@r
diskusjonsinnleggets	dI-sku0-'Su:ns-In-%lE-g@ts
diskusjonstema	dI-sku0-'Su:ns-%te:-mA
diskutabelt	dI-sku0-'tA:-b@lt
diskutabelts	dI-sku0-'tA:-b@lts
diskuter	dI-sku0-'te:r
diskuterer	dI-sku0-'te:-r@r
diskvalifikasjonene	dI-skvA-lI-fI-kA-'Su:-nn=-@
diskvalifiserendes	dI-skvA-lI-fI-'se:-n`=-@s
diskvalifiseringens	'dI-skvA-lI-fI-%se:-rIN-@ns
Disney	'dI-snY
dispasjene	dI-'spA:-Sn=-@
dispasjerende	dI-spA-'Se:-n`=-@
dispasjerts	dI-spA-'s`e:t`s`
dispasjøreksamenen	dI-spA-'S2:r-@k-%sA:-m@-nn=
dispasjørers	dI-spA-'s`2:-r@s`
dispensasjoners	dI-spAN-sA-'Su:-n@s`
dispensasjonssøknader	dI-spAN-sA-'Su:ns-%s2:-knA:-d@r
dispenserendes	dI-spAN-'se:-n`=-@s
dispenserne	dI-'spEn-s@-n`@
displayenes	dI-'spl{*I-@-n@s
disponentenes	dI-spU-'nEn-tn=-@s
disponer	dI-spU-'ne:r
disponerer	dI-spU-'ne:-r@r
disponibelt	dI-spU-'ni:-b@lt
disponible	dI-spU-'ni:-bl@
disposisjonene	dI-spU-sI-'Su:-nn=-@
disposisjoners	dI-spU-sI-'Su:-n@s`
disposisjons	dI-spU-sI-'Su:ns
disposisjonsfondet	dI-spU-sI-'Su:ns-%fO-n@
disposisjonsplanenes	dI-spU-sI-'Su:ns-%plA:-nn=-@s
disposisjonsplaner	dI-spU-sI-'Su:ns-%plA:-n@r
disposisjonsplaners	dI-spU-sI-'Su:ns-%plA:-n@s`
disposisjonsrettene	dI-spU-sI-'Su:ns-%rE-tn=-@
disputaser	dI-spu0-'tA:-s@r
disputere	dI-spu0-'te:-r@
disputerendes	dI-spu0-'te:-n`=-@s
disputert	dI-spu0-'te:t`
dissa	"dI-sA
dissekerer	dI-s@-'ke:-r@r
dissekerkniver	dI-s@-'ke:r-%kni:-v@r
disseksjonene	dI-s@k-'Su:-nn=-@
disseksjonskniven	dI-s@k-'Su:ns-%kni:-v@n
disseksjonsknivs	dI-s@k-'Su:ns-%kni:vs
dissene	"dI-sn=-@
dissenes	"dI-sn=-@s
dissensens	dI-'sEn-sn=s
dissenteres	dI-'sEn-t@-r@s
dissenterkjerkene	dI-'sEn-t@r-%C{r-k@-n@
dissentermenighetenes	dI-'sEn-t@r-me:-nI-%he:-tn=-@s
dissers	"dI-s@s`
dissimilasjon	dI-sI-mI-lA-'Su:n
dissimilerende	dI-sI-mI-'le:-n`=-@
dissimilert	dI-sI-mI-'le:t`
diss-mollen	'dIs-%mO-ln=
diss-molls	'dIs-%mOls
dissonans	dI-sU-'nANs
dissonansen	dI-sU-'nAN-sn=
distanseløperne	dI-'stAN-s@-%l2:-p@-n`@
distansemerkene	dI-'stAN-s@-%m{r-k@-n@
distansemerket	dI-'stAN-s@-%m{r-k@
distanses	dI-'stAN-s@s
distanseseieren	dI-'stAN-s@-%s{*I-@n`
distanseseierens	dI-'stAN-s@-%s{*I-@n`S
distanseseire	dI-'stAN-s@-%s{*I-r@
distingvering	dI-stIN-'ve:-rIN
distinktive	'dI-stINk-%ti:-v@
distraher	dI-strA-'he:r
distrahere	dI-strA-'he:-r@
distraherer	dI-strA-'he:-r@r
distrahering	dI-strA-'he:-rIN
distribuering	dI-strI-bu0-'e:-rIN
distribusjonens	dI-strI-bu0-'Su:-nn=s
distribusjonsapparatenes	dI-strI-bu0-'Su:ns-A-pA-%rA:-tn=-@s
distribusjonsapparatets	dI-strI-bu0-'Su:ns-A-pA-%rA:-t@ts
distribusjonskjeder	dIs-trI-bu0-'Su:ns-%Ce:-d@r
distribusjonsnettas	dI-strI-bu0-'Su:ns-%nE-tAs
distributive	dI-'strI-bu0-%ti:-v@
distributives	dI-'strI-bu0-%ti:-v@s
distrikta	dI-'strIk-tA
distrikt	dI-'strIkt
distriktet	dI-'strIk-t@
distrikts	dI-'strIkts
distriktsfiendtlig	dI-'strIkts-%fi:-@nt-lI
distriktshøgskoler	dI-'strIkts-h9*Y-%sku:-l@r
distriktshøyskolen	dI-'strIkts-h9*Y-%sku:-ln=
distriktshøyskoler	dI-'strIkts-h9*Y-%sku:-l@r
distriktskommando	dI-'strIkts-kU-%mAn-dU
distriktskommandoenes	dI-'strIkts-kU-%mAn-dU-@-n@s
distriktskommandos	dI-'strIkts-kU-%mAn-dUs
distriktslandbruket	dI-'strIkts-lAn-%br}:-k@
distriktslegen	dI-'strIkts-%le:-g@n
distriktsmessig	dI-'strIkts-%mE-sI
distriktspolitikkenes	dI-'strIkts-pU-lI-%tI-k@-n@s
distriktspolitikkers	dI-'strIkts-pU-lI-%tI-k@s`
distriktssjefs	dI-'strIkts-%Se:fs
distriktstannklinikken	dI-'strIkts-tAn-klI-%nI-k@n
distriktstollsted	dI-'strIkts-tOl-%ste:d
distriktsvennlig	dI-'strIkts-%vEn-lI
distriktsveterinærenes	dI-'strIkts-v@-t@-rI-%n{:-n`=-@s
ditt	'dIt	functional
ditten	'dI-tn=	functional
ditto	'dI-tU	functional
dityrambers	dI-tY-"rAm-b@s`
divanen	dI-'vA:-nn=
divanputen	dI-'vA:n-%p}:-tn=
divanputes	dI-'vA:n-%p}:-t@s
divanteppas	dI-'vA:n-%tE-pAs
divergensen	dI-v@r-'gEn-sn=
divergensenes	dI-v@r-'gEn-sn=-@s
divergerendes	dI-v@r-'ge:-n`=-@s
divergeres	dI-v@r-'ge:-r@s
diverse	dI-'v{-s`@
diversekontiene	dI-'v{-s`@-%kOn-tI-@-n@
diversekontoens	dI-'v{-s`@-%kOn-tU-@ns
diversjon	dI-v@-'s`u:n
diversjonen	dI-v@-'s`u:-nn=
diversjoners	dI-v@-'Su:-n@s`
divertimentiene	dI-v@-t`I-'mEn-tI-@-n@
divertimentoenes	dI-v@-t`I-'mEn-tU-@-n@s
divertimentoers	dI-v@-t`I-'mEn-tU-@s`
divertissements	dI-v@-t`I-s@-'mANs
dividere	dI-vI-'de:-r@
divisjoners	dI-vI-'Su:-n@s`
divisjonsmusikks	dI-vI-'Su:ns-mu0-%sIks
divisjonssjef	dI-vI-'Su:ns-%Se:f
divisjonstegn	dI-vI-'Su:ns-%t{*In
divisjonstegnet	dI-vI-'Su:ns-%t{*I-n@
divisorens	dI-'vi:-sU-n`=s
dixielandstilen	'dIk-sI-l@n-%sti:-ln=
djerveres	"dj{r-v@-r@s
djerves	"dj{r-v@s
djervest	'dj{r-v@st
djervskaps	"dj{rv-%skA:ps
djevelskapets	"dje:-v@l-%skA:-p@ts
djevlebesattes	"dje:v-l@-b@-%sA-t@s
djevlebesvergelsenes	"dje:v-l@-b@-%sv{r-gl=-sn=-@s
djevlebesvergerens	"dje:v-l@-b@-%sv{r-g@rn`S
djevlebesvergerne	"dje:v-l@-b@-%sv{r-g@-n`@
djevlebesvergernes	"dje:v-l@-b@-%sv{r-g@r-n`@s
djevlemaners	"dje:v-l@-%mA:-n@s`
djevleutdriveren	"dje:v-l@-}:t-%dri:-v@-n`=
djevligere	"j{:v-lI-@-r@
djiboutierer	djI-'bu:-tI-@-r@r
Djilas	'dji:-lAs
djunker	"djUN-k@r
Djupadalskroken	"j}:-pA-dA:l-%kru:-k@n
djupålene	"j}:p-%o:-ln=-@
djupålenes	"j}:p-%o:-ln=-@s
djupbergarta	"j}:p-b@rg-%A-t`A
djupbergartens	"j}:p-b@rg-%A-t`n`=s
djupbergart	"j}:p-b@rg-%At`
djupblåes	"j}:p-%blo:-@s
djupboringa	"j}:p-%bu:-rIN-A
djupboringas	"j}:p-%bu:-rIN-As
djupboringenes	"j}:p-%bu:-rIN-@-n@s
djupboringers	"j}:p-%bu:-rIN-@s`
djupborings	"j}:p-%bu:-rINs
djupetses	"j}:p-%Et-s@s
djupfiskene	"j}:p-%fI-sk@-n@
djupfisken	"j}:p-%fI-sk@n
djupfiskers	"j}:p-%fI-sk@s`
djupfisk	"j}:p-%fIsk
djupfisks	"j}:p-%fIsks
djupfryser	"j}:p-%fry:-s@r
djupfrysernes	"j}:p-%fry:-s@r-n`@s
djupgående	'j}:p-%go:-@-n@
djup	'j}:p
djuplendte	"j}:-%plEn-t@
djupnets	"j}:p-n@ts
djuprøde	"j}:p-%r2:-d@
djups	'j}:ps
djupstrukturenes	"j}:p-stru0k-%t}:-n`=-@s
djupstrukturer	"j}:p-stru0k-%t}:-r@r
djupstruktur	"j}:p-stru0k-%t}:r
djuptallerken	"j}:p-tA-%l{r-k@n
djuptføltes	"j}:pt-%f2:l-t@s
djupvassfiskene	'j}:p-vAs-%fI-sk@-n@
djupvassfiskens	'j}:p-vAs-%fI-sk@ns
Djupvika	"j}:p-%vi:-kA
Djursholm	'j}:s`-%hOlm
D-mark	'de:-%mArk
D-Mark	'de:-%mArk
D-Marken	'de:-%mAr-k@n
d-mollene	'de:-%mO-ln=-@
d-molls	'de:-%mOls
DNA-ene	%de:-@n-'A:-@-n@
DNA-molekylas	%de:-@n-'A:-mU-l@-%ky:-lAs
DNA-molekylet	%de:-@n-'A:-mU-l@-%ky:-l@
DN	"de:-%En
DNHs	%de:-En-'ho:s
Dnjestr	'njE-str
dnk	%de:-En-'ko:
DNM	%de:-En-'Em
dobbeltagentene	'dO-b@lt-A-%gEn-tn=-@
dobbeltarbeidende	'dO-b@lt-Ar-%b{*I-dn=-@
dobbeltarbeidendes	'dO-b@lt-Ar-%b{*I-dn=-@s
dobbeltbeskatning	'dO-b@lt-b@-%skAt-nIN
dobbeltbevissthet	'dO-b@lt-b@-vIst-%he:t
dobbeltbinding	'dO-b@lt-%bI-nIN
dobbeltbindingene	'dO-b@lt-%bI-nIN-@-n@
dobbeltbonnet	'dO-b@lt-%bO-n@t
dobbeltbunnas	'dO-b@lt-%bu0-nAs
dobbeltbunn	'dO-b@lt-%bu0n
dobbeltdekkerers	'dO-b@lt-%dE-k@-r@s`
dobbelteksponering	'dO-b@lt-@k-spU-%ne:-rIN
dobbelthaker	'dO-b@lt-%hA:-k@r
dobbelthakers	'dO-b@lt-%hA:-k@s`
dobbeltknappa	'dO-b@lt-%knA-pA
dobbeltknappedes	'dO-b@lt-%knA-p@-d@s
dobbeltkonsonantene	'dO-b@lt-kUn-sU-%nAn-tn=-@
dobbeltkonsonanter	'dO-b@lt-kUn-sU-%nAn-t@r
dobbeltmoralen	'dO-b@lt-mU-%rA:-ln=
dobbeltmyntføttenes	'dO-b@lt-mYnt-%f9-tn=-@s
dobbeltrensedes	'dO-b@lt-%rEn-s@-d@s
dobbeltscullere	'dO-b@lt-%sk9-l@-r@
dobbeltscullerens	'dO-b@lt-%sk9-l@rn`S
dobbeltseirers	'dO-b@lt-%s{*I-r@s`
dobbeltsengens	'dO-b@lt-%sEN-@ns
dobbeltsenger	'dO-b@lt-%sEN-@r
dobbeltspellenes	'dO-b@lt-%spE-ln=-@s
dobbeltspente	'dO-b@lt-%spEn-t@
dobbeltspillene	'dO-b@lt-%spI-ln=-@
dobbeltspor	'dO-b@lt-%spu:r
dobbeltsporete	'dO-b@lt-%spu:-r@-t@
dobbeltstemme	'dO-b@lt-%stE-m@
dobbeltsynene	'dO-b@lt-%sy:-nn=-@
dobbelttaka	'dO-b@lt-%tA:-kA
dobbelttakas	'dO-b@lt-%tA:-kAs
dobbelttilværelsers	'dO-b@lt-tIl-%v{:-l`=-s@s`
dobbelttimen	'dO-b@lt-%ti:-m@n
dobbelttimer	'dO-b@lt-%ti:-m@r
dobbeltværelset	'dO-b@lt-%v{:-l`=-s@
dobbene	"dO-b@-n@
dobbenes	"dO-b@-n@s
Dobbiaco	dO-bI-'A-kO
dobermannene	'dO-b@r-%mA-nn=-@
dobermannpinsjerens	'dO-b@r-mAn-%pIn-S@rn`S
dobermanns	'dO-b@r-%mAns
doblede	"dO-bl@-d@
doblets	"dO-bl@ts
Dobloug	'dO-blE*u0
dødballen	'd2:-%bA-ln=
dødbrentes	"d2:-%brEn-t@s
dødd	'd9d
døddrukkents	"d2:-%drU-k@nts
dødeliges	"d2:-dl=-I-@s
dødelighet	"d2:-dl=-I-%he:t
dødende	"d2:-@n-@
dødens	'd2:-dn=s
dødet	"d2:-d@t
dødfødd	"d2:-%f9d
dødfødtes	"d2:-%f9-t@s
dødgangens	"d2:-%gAN-@ns
dødgangs	"d2:-%gANs
Dodik	'du:-dIk
dødlinja	"d2:-%lI-njA
dødlinjen	"d2:-%lI-nj@n
dødmannsknappers	'd2:-mAns-%knA-p@s`
dødmannsknapps	'd2:-mAns-%knAps
dødningen	"d2:d-nIN-@n
dødningenes	"d2:d-nIN-@-n@s
dødninghoda	"d2:d-nIN-%hu:-dA
dødninghodas	"d2:d-nIN-%hu:-dAs
dødninghoders	"d2:d-nIN-%hu:-d@s`
Dodoma	dU-'du:-mA
dødsalders	'd9ds-%Al-d@s`
dødsaldrene	'd9ds-%Al-dr@-n@
dødsangstene	'd9ds-%AN-stn=-@
dødsangsts	'd9ds-%ANsts
dødsannonser	'd9ds-A-%nON-s@r
dødsårsakene	'd9ds-o:-%s`A:-k@-n@
dødsårsakenes	'd9ds-o:-%s`A:-k@-n@s
dødsattesten	'd9ds-A-%tE-stn=
dødsattests	'd9ds-A-%tEsts
dødsbevissthet	'd9ds-b@-vIst-%he:t
dødsboets	'd9ds-%bu:-@ts
dødsbudskapet	'd9ds-b}:d-%skA:-p@
dødsdommens	'd9ds-%dO-m@ns
dødsdømt	'd9ds-%d9mt
dødsens	'd9d-sn=s
dødsfalls	'd9ds-%fAls
dødsfare	'd9ds-%fA:-r@
dødsfares	'd9ds-%fA:-r@s
dødsfellers	'd9ds-%fE-l@s`
dødsfelles	'd9ds-%fE-l@s
dødsfiendenes	'd9ds-%fi:-@n-dn=-@s
dødsformodningsdom	'd9ds-fOr-mu:d-nINs-%dOm
dødsformodningsdommens	'd9ds-fOr-mu:d-nINs-%dO-m@ns
dødsgjeng	'd9ds-%jEN
dødsgjengenes	'd9ds-%jEN-@-n@s
dødskamp	'd9ds-%kAmp
dødskampen	'd9ds-%kAm-p@n
dødsleis	"d9d-%sl{*Is
dødsmaskene	'd9ds-%mA-sk@-n@
dødsoffer	'd9ds-%O-f@r
dødsoffers	'd9ds-%O-f@s`
dødsofrene	'd9ds-%O-fr@-n@
dødsofres	'd9ds-%O-fr@s
dødsonene	"d2:-%su:-nn=-@
dødsoner	"d2:-%su:-n@r
dødsøyeblikks	'd9ds-9*Y-@-%blIks
dødsrikas	'd9ds-%ri:-kAs
dødsrike	'd9ds-%ri:-k@
dødsrikene	'd9ds-%ri:-k@-n@
dødsrisikoenes	'd9ds-rI-sI-%ku:-@-n@s
dødsseglere	'd9ds-%sE-gl@-r@
dødssegleres	'd9ds-%sE-gl@-r@s
dødsseilere	'd9ds-%s{*I-l@-r@
dødsseilernes	'd9ds-%s{*I-l@r-n`@s
dødsskvadronens	'd9ds-skvA-%dru:-nn=s
dødsstøta	'd9ds-%st2:-tA
dødsstøt	'd9ds-%st2:t
dødsstøtene	'd9ds-%st2:-tn=-@
dødssykt	'd9ds-%sy:kt
dødssynda	'd9ds-%sY-nA
dødssyndenes	'd9ds-%sY-nn=-@s
dødssyndens	'd9ds-%sY-nn=s
dødsulykka	'd9ds-}:-%lY-kA
dødsulykke	'd9ds-}:-%lY-k@
dødvann	"d2:-%vAn
dødvekt	'd2:-%vEkt
dødvekter	'd2:-%vEk-t@r
dødvekters	'd2:-%vEk-t@s`
dødvekts	'd2:-%vEkts
dødvinkelen	"d2:-%vIN-k@-ln=
doenes	'du:-@-n@s
døgenikts	"d2:-g@-%nIkts
døgeras	'd2:-g@-rAs
døgerville	"d2:-g@r-%vI-l@
døgervilles	"d2:-g@r-%vI-l@s
døgervilt	"d2:-g@r-%vIlt
doggende	"dO-g@-n@
doggene	"dO-g@-n@
dogger	"dO-g@r
doggfriskes	"dOg-%frI-sk@s
doggfritts	"dOg-%frIts
doggpilens	"dOg-%pi:-ln=s
doggpilers	"dOg-%pi:-l@s`
doggpunkters	"dOg-%pUNk-t@s`
doggskinnas	"dOg-%SI-nAs
doggvåte	"dOg-%vo:-t@
doggvåtes	"dOg-%vo:-t@s
doggvåts	"dOg-%vo:ts
dogma	"dOg-mA
dogmatiker	dOg-'mA:-tI-k@r
dogmatikeres	dOg-'mA:-tI-k@-r@s
dogmatisks	dOg-'mA:-tIsks
dogmatismes	dOg-mA-'tI-sm@s
døgnåpen	"d9*Yn-%o:-p@n
døgnåpent	"d9*Yn-%o:-p@nt
døgnåpnes	"d9*Yn-%o:p-n@s
døgnboksen	"d9*Yn-%bOk-sn=
døgn	'd9*Yn
døgndriftsordning	"d9*Yn-drIfts-%Od`-n`IN
døgnets	'd9*Y-n@ts
døgngamle	"d9*Yn-%gA-l@
døgnopphold	"d9*Yn-Op-%hOl
døgnproduksjoner	"d9*Yn-prU-du0k-%Su:-n@r
døgnproduksjons	"d9*Yn-prU-du0k-%Su:ns
døgnservicenes	"d9*Yn-%s9r-vI-sn=-@s
døgnvill	"d9*Yn-%vIl
døgnvilles	"d9*Yn-%vI-l@s
dokkanlegga	"dOk-An-%lE-gA
dokkanleggene	"dOk-An-%lE-g@-n@
dokkarbeideres	"dOk-Ar-%b{*I-d@-r@s
dokkeaktigs	"dO-k@-%Ak-tIs
dokkeansiktet	"dO-k@-An-%sIk-t@
dokkemannens	"dO-k@-%mA-nn=s
dokkemennenes	"dO-k@-%mE-nn=-@s
dokkene	"dO-k@-n@
Dokkeskjærskaien	"dO-k@-S{:s`-%kA*I-@n
dokkestuas	"dO-k@-%st}:-As
dokkestuers	"dO-k@-%st}:-@s`
dokket	"dO-k@t
dokketeateret	"dO-k@-t@-%A:-t@-r@
dokketeaters	"dO-k@-t@-%A:-t@s`
dokketeatrene	"dO-k@-t@-%A:-tr@-n@
dokkevogn	"dO-k@-%vONn
dokkevognene	"dO-k@-%vON-nn=-@
dokkevognens	"dO-k@-%vON-nn=s
dokks	'dOks
dokksettendes	"dOk-%sE-tn=-@s
dokset	'dOk-s@t
doksologis	dOk-sU-lU-'gi:s
doktorandene	dOk-tU-'rAn-dn=-@
doktorarbeide	'dOk-tU-rAr-%b{*I-d@
doktoravhandlingens	'dOk-tUr-A:v-%hAn-lIN-@ns
doktorert	dOk-tU-'re:t`
doktorgraden	'dOk-tUr-%grA:-dn=
doktorgraders	'dOk-tUr-%grA:-d@s`
doktorgradsarbeid	'dOk-tUr-grAds-Ar-%b{*Id
doktorgradsavhandlingen	'dOk-tUr-grA:ds-A:v-%hAn-lIN-@n
doktorgradskandidats	'dOk-tUr-grA:ds-kAn-dI-%dA:ts
doktorgradsstipend	'dOk-tUr-grAds-stI-%pEn
doktorkandidatens	'dOk-tUr-kAn-dI-%dA:-tn=s
doktorkandidaters	'dOk-tUr-kAn-dI-%dA:-t@s`
doktrinene	dOk-"tri:-nn=-@
dokumenta	dO-ku0-'mEn-tA
dokumentarbøker	dU-ku0-m@n-'tA:r-%b2:-k@r
dokumentarfilmenes	dU-ku0-m@n-'tA:r-%fIl-m@-n@s
dokumentarfilmers	dU-ku0-m@n-'tA:r-%fIl-m@s`
dokumentarformen	dU-ku0-m@n-'tA:r-%fOr-m@n
dokumentarisk	dU-ku0-m@n-'tA:-rIsk
dokumentarromanens	dU-ku0-m@n-'tA:r-rU-%mA:-nn=s
dokumentarromaner	dU-ku0-m@n-'tA:r-rU-%mA:-n@r
dokumentas	dO-ku0-'mEn-tAs
dokumentasjonenes	dU-ku0-m@n-tA-'Su:-nn=-@s
dokumentasjonens	dU-ku0-m@n-tA-'Su:-nn=s
dokumentasjoners	dU-ku0-m@n-tA-'Su:-n@s`
dokumentavgifters	dU-ku0-'mEnt-A:v-%jIf-t@s`
dokumentavgifts	dU-ku0-'mEnt-A:v-%jIfts
dokument	dO-ku0-'mEnt
dokumentenes	dO-ku0-'mEn-tn=-@s
dokumenterbar	dU-ku0-m@n-'te:r-%bA:r
dokumenterbare	dU-ku0-m@n-'te:r-%bA:-r@
dokumenterendes	dU-ku0-m@n-'te:-n`=-@s
dokumentering	dU-ku0-m@n-'te:-rIN
dokumentfalsken	dU-ku0-'mEnt-%fAl-sk@n
dokumentfalskens	dU-ku0-'mEnt-%fAl-sk@ns
dokumentmappas	dU-ku0-'mEnt-%mA-pAs
doldisers	'dOl-dI-s@s`
dølefeet	"d2:-l@-%fe:-@
dølehestens	"d2:-l@-%hE-stn=s
dølers	"d2:-l@s`
dølevisene	"d2:-l@-%vi:-sn=-@
dølevises	"d2:-l@-%vi:-s@s
dølgende	"d9l-g@-n@
dølges	"d9l-g@s
dølgsmålas	'd9lg-%smo:-lAs
dølgsmål	'd9lg-%smo:l
dølgsmålenes	'd9lg-%smo:-ln=-@s
dølgsmåls	'd9lg-%smo:ls
dolkers	"dOl-k@s`
dolkestikkenes	"dOl-k@-%stI-k@-n@s
dolkestikks	"dOl-k@-%stIks
dollaren	'dO-lA-n`=
dollarenes	'dO-lA-n`=-@s
dollarglis	'dO-lAr-%gli:s
dollars	'dO-lAs`
dollarturistenes	'dO-lAr-tu0-%rI-stn=-@s
doller	"dO-l@r
dolomitt	dU-lU-'mIt
dolomitts	dU-lU-'mIts
dolper	"dOl-p@r
dølske	'd2:l-sk@
dølskes	'd2:l-sk@s
dombjellas	'dOm-%bjE-lAs
dombjellen	'dOm-%bjEln
dombjeller	'dOm-%bjE-l@r
dombjøllens	'dOm-%bj9-ln=s
dømets	"d2:-m@ts
domfelts	"dOm-%fElts
dominant	dU-mI-'nAnt
dominikaner	dU-mI-nI-'kA:-n@r
dominikanerklosteret	dU-mI-nI-'kA:-n@r-%klO-st@-r@
dominikanerklostra	dU-mI-nI-'kA:-n@r-%klO-strA
dominikanerklostre	dU-mI-nI-'kA:-n@r-%klO-str@
dominikanermunken	dU-mI-nI-'kA:-n@r-%mUN-k@n
dominikanermunkers	dU-mI-nI-'kA:-n@r-%mUN-k@s`
dominikanernes	dU-mI-nI-'kA:-n@r-n`@s
dominikerne	dU-'mi:-nI-k@-n`@
dominikernes	dU-'mi:-nI-k@r-n`@s
dominions	dO-'mI-nj@ns
dominobrikke	'dU-mI-nU-%brI-k@
dominobrikkenes	'dU-mI-nU-%brI-k@-n@s
dominobrikkens	'dU-mI-nU-%brI-k@ns
domino	'dU-mI-%nu:
domisilas	dO-mI-'si:-lAs
domisiliantens	dO-mI-sI-lI-'An-tn=s
domisiliatene	dO-mI-sI-lI-'A:-tn=-@
domisilierende	dO-mI-sI-lI-'e:-n`=-@
domisilvekslene	dO-mI-'si:l-%vEk-sln=-@
domkirkas	'dOm-%CIr-kAs
domkjerkas	'dOm-%C{r-kAs
domkjerkens	'dOm-%C{r-k@ns
domkorene	'dOm-%ku:-n`=-@
domkorenes	'dOm-%ku:-n`=-@s
dommar	"dO-mAr
dommedagsprekenen	"dO-m@-dA:gs-%pre:-k@-nn=
dommedagsprekenens	"dO-m@-dA:gs-%pre:-k@-nn=s
dommedagsprekens	"dO-m@-dA:gs-%pre:-k@ns
dommedagsprofetenes	"dO-m@-dA:gs-prU-%fe:-tn=-@s
dommedagsprofeter	"dO-m@-dA:gs-prU-%fe:-t@r
dømmeevna	"d9-m@-%Ev-nA
dømmeevne	"d9-m@-%Ev-n@
dømmekraft	"d9-m@-%krAft
dommerbordet	"dO-m@r-%bu:-r@
dommereder	"dO-m@r-%e:-d@r
dommereds	"dO-m@r-%e:ds
dommereid	"dO-m@r-%{*Id
dommereiders	"dO-m@r-%{*I-d@s`
dommerfløyta	"dO-m@r-%fl9*Y-tA
dommerforening	"dO-m@r-fO-%re:-nIN
dommerforeningens	"dO-m@r-fO-%re:-nIN-@ns
dommeroppdrag	"dO-m@-rOp-%drA:g
dommers	"dO-m@s`
dommertårns	"dO-m@r-%to:n`S
Dommerud	"dO-m@-%r}:d
dømmesjukens	"d9-m@-%S}:-k@ns
dømmesjukers	"d9-m@-%s`}:-k@s`
dømmesjuks	"d9-m@-%S}:ks
dømmesjukt	"d9-m@-%S}:kt
dømmesyke	"d9-m@-%sy:-k@
dømmesykens	"d9-m@-%sy:-k@ns
dømmesyker	"d9-m@-%sy:-k@r
dømmesykts	"d9-m@-%sy:kts
dømming	"d9-mIN
domorganist	'dOm-Or-gA-%nIst
domorganistens	'dOm-Or-gA-%nI-stn=s
dompapers	'dUm-%pA-p@s`
domprostenes	'dOm-%prU-stn=-@s
domprosts	'dOm-%prUsts
domraens	'dOm-rA-@ns
domsavgjørelsens	'dOms-A:v-%j2:-l`=-sn=s
domsavsigelse	'dOms-A:v-%si:-gl=-s@
